family,subfamily,tribe,genus.group,subgenus,genus.species
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles barbumbrosus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles barianensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles beklemishevi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles belenrae
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles bengalensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles borneensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles bradleyi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles brevipalpis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles brevirostris
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles bulkleyi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles bustamantei
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles calderoni
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles caliginosus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles campestris
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles chiriquiensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles chodukini
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles claviger
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles colledgei
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles collessi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles concolor
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles corethroides
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles costai
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles coustani
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles crawfordi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles crucians
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles crypticus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles cucphuongensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles culiciformis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles daciae
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles diluvialis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles dissidens
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles donaldi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles earlei
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles eiseni
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles ejercitoi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles engarensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles evandroi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles fausti
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles fluminensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles forattinii
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles fragilis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles franciscanus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles franciscoi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles freeborni
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles freyi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles fuscicolor
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles gabaldoni
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles georgianus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles gigas
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles grabhamii
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles guarao
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles hailarensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles hectoris
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles heiheensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles hermsi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles hodgkini
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles hunteri
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles hyrcanus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles insulaeflorum
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles intermedius
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles interruptus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles inundatus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles judithae
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles kleini
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles koreicus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles kweiyangensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles labranchiae
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles lesteri
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles letifer
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles lewisi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles liangshanensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles lindesayi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles maculipennis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles maculipes
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles malefactor
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles manalangi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles marteri
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles martinius
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles mattogrossensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles maverlius
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles mediopunctatus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles melanoon
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles menglangensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles messeae
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles minor
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles montanus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles namibiensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles neomaculipalpus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles nigerrimus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles nilgiricus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles nimpe
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles nitidus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles noniae
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles obscurus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles occidentalis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles omorii
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles palmatus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles paludis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles papuensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles parapunctipennis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles peditaeniatus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles perplexens
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles persiensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles peryassui
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles petragnani
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles peytoni
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles pilinotum
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles pinjaurensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles plumbeus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles pollicaris
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles powderi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles powelli
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles prachongae
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles pseudobarbirostris
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles pseudomaculipes
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles pseudopictus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles pseudopunctipennis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles pseudosinensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles pseudostigmaticus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles pullus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles punctimacula
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles punctipennis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles pursati
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles quadrimaculatus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles rachoui
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles reidi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles roperi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles sacharovi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles saeungae
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles samarensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles saperoi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles separatus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles shannoni
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles similissimus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles sinensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles sineroides
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles sintoni
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles sintonoides
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles smaragdinus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles stigmaticus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles stricklandi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles sumatrana
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles symesi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles tasmaniensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles tenebrosus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles tibiamaculatus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles tigertti
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles umbrosus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles vanderwulpi
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles vanus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles veruslanei
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles vestitipennis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles vietnamensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles walkeri
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles wejchoochotei
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles wellingtonianus
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles whartoni
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles xelajuensis
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles xui
Culicidae,Anophelinae,None,Anopheles,AnophelesAnopheles,Anopheles ziemanni
Culicidae,Anophelinae,None,Anopheles,AnophelesBaimaia,Anopheles kyondawensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles aconitus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles ainshamsi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles amharicus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles amictus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles annularis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles annulatus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles annulipesC
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles annulipesE
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles apoci
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles arabiensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles ardensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles argenteolobatus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles aruni
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles aurirostris
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles austenii
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles azaniae
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles azevedoi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles baimaii
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles baisasi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles balabacensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles barberellus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles berghei
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles bervoetsi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles brohieri
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles brucei
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles brumpti
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles brunnipes
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles buxtoni
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles bwambae
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles cameroni
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles carnevalei
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles caroni
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles carteri
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles christyi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles cinctus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles cinereus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles clowi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles coluzzii
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles comorensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles confusus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles cracens
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles cristatus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles cristipalpis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles culicifacies
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles cydippis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles dancalicus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles daudi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles deemingi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles demeilloni
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles dirus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles dispar
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles distinctus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles domicola
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles dravidicus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles dthali
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles dualaensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles dureni
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles elegans
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles eouzani
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles epiroticus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles erepens
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles erythraeus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles ethiopicus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles faini
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles farauti
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles filipinae
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles flavicosta
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles flavirostris
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles fluviatilis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles fontinalis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles freetownensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles funestus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles fuscivenosus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles gabonensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles gambiae
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles garnhami
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles gibbinsi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles grassei
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles greeni
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles grenieri
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles griveaudi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles hackeri
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles hamoni
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles hancocki
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles hargreavesi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles harperi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles harrisoni
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles hervyi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles hilli
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles hinesorum
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles hughi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles incognitus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles indefinitus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles introlatus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles irenicus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles jamesii
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles jebudensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles jeyporiensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles karwari
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles keniensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles kingi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles kochi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles kokhani
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles kolambuganensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles koliensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles kosiensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles lacani
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles latens
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles leesoni
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles letabensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles leucosphyrus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles limosus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles listeri
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles litoralis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles lloreti
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles longipalpis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles longirostris
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles lounibosi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles lovettae
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles ludlowae
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles lungae
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles macarthuri
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles machardyi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles maculatus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles maculipalpis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles majidi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles maliensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles mangyanus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles marshallii
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles mascarensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles melas
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles meraukensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles merus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles millecampsi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles milloti
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles minimus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles mirans
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles moghulensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles mortiauxi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles moucheti
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles mousinhoi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles multicinctus
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles multicolor
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles murphyi
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles natalensis
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles nataliae
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles nemophilous
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles nili
Culicidae,Anophelinae,None,Anopheles,AnophelesCellia,Anopheles nivipes
