Unique_Habitat,Habitat_Classifier
large pits,DTH
freshly dug pits,DTH
heavily shaded pits,DTH
ditch,DTH
flooded ditches,DTH
coconut trenches,DTH
open ditches in a forest,DTH
coconut shells,FH
cacao pods,FH
coconuts,FH
coconut husks,FH
seed pods of various plants,FH
husks,FH
fallen fruits,FH
fallen cacao pods,FH
coconut husks and shells,FH
fallen cacao fruits,FH
fruits and pods,FH
coconut shells/husks,FH
coconut leaves/husks,FH
fallen seed pods,FH
coconut half shells,FH
shaded coconut shells,FH
squirrel-gnawed coconuts,FH
dry coconut husk,FH
coconut shells (halves husks spathes),FH
rat-eaten coconuts,FH
split coconut shells,FH
broken shells of calabash,FH
papaya,FH
rat-eaten coconut fruits on trees,FH
coconut shells and spathes (damaged coconut as well),FH
fallen damaged coconuts,FH
rat-gnawed coconuts,FH
coconut husks/shells/spathes,FH
cacao shells,FH
fallen coconuts,FH
coconut halves,FH
cocoa pods,FH
damaged coconuts,FH
rat-bored coconut husks,FH
betel nuts,FH
fungus Polystictus xanthopus,FNG
cup fungus,FNG
funnel-shaped fungi (Polystictus versicolor),FNG
fungus tops of Polystictus xanthopus,FNG
mushroom heads,FNG
flower bracts of Heliconia,FP
heliconia axils,FP
Heliconia flower bracts,FP
spathes of heliconias,FP
heliconia flower bracts,FP
bracts,FP
flower bracts of Curcuma australasica,FP
flower spathe,FP
flower bracts of Curcuma,FP
bracts of coconut flower breadfruit banana,FP
overblown Rafflesia,FP
flower cups of Sapra himalayana,FP
Heliconia bracts,FP
Zingiber axils,FP
Curcuma inflorescence,FP
Calathea flower bracts,FP
fallen leaves,FPP
large fallen leaves,FPP
fronds on ground,FPP
leaves on the ground,FPP
fallen plant part (spathe),FPP
fallen palm fronds,FPP
fallen palm leaves in forests,FPP
fallen palm bracts,FPP
fallen fronds,FPP
fallen frond,FPP
fallen coconut fronds,FPP
fallen Pandanus leaf,FPP
fallen leaves and sticks in backwaters of flowing creek in a rock gully,FPP
fallen betel nut palms,FPP
fallen spathes,FPP
fallen palm spathes,FPP
fallen palm leaves,FPP
small temporary ground pool (garden),GDN
gardens,GDN
shallow pools in garden areas,GDN
garden pools,GDN
taro garden,GDN
garden furrows,GDN
garden drains,GDN
pools free of vegetation,GP
pools free of flotage,GP
very muddy pools,GP
shallow ground puddles,GP
small pools,GP
stagnant pools,GP
ground pool,GP
natural ground pools,GP
foul ground pools,GP
fresh water ground pools,GP
permanent pools,GP
strongly shaded pools,GP
overgrown vegetation semipermanent pools,GP
overgrown vegetation permanent pools,GP
cold clean water pools,GP
partial sunlit pools,GP
shaded pools,GP
emergent and floating vegetation in permanent pools,GP
open pools,GP
deep well-shaded pools,GP
ground pools,GP
cool clear shaded pools,GP
small permanent bodies of water,GP
permanent water bodies with aquatic vegetation,GP
fresh water pools,GP
woodland pools,GP
shallow open pools,GP
freshwater pools,GP
rain pools,GP
waterholes,GP
open sunlit ground pools,GP
groundpools,GP
small pools (mountains),GP
shallow pools,GP
forest pools,GP
cold shaded pools,GP
large permanent pools,GP
muddy pools,GP
small depressions,GP
open shallow pools,GP
rain-filled pools,GP
unshaded rain-filled pools,GP
large shallow pools with vegetation,GP
grassy pools,GP
grassy permanent pools,GP
deep isolated pool,GP
mountain pools,GP
highland groundpools,GP
ground pools,GP
open grassy ground pools,GP
shaded grassy pools with many leaves,GP
small ground pools,GP
small ground pools among herbage,GP
unshaded ground pools,GP
shallow grassy pools,GP
shaded ground pools in woods,GP
jungle ground pools,GP
shaded shallow ground pools,GP
small ground pool (waterhole),GP
grassy depressions,GP
bottomland forest pools,GP
vegetated rain pool,GP
jungle pools,GP
shallow forest pools,GP
partly shaded woodland pools,GP
water holes,GP
grassy pool,GP
partly shaded ground pools,GP
completely shaded pools,GP
ground pools with abundant vegetation,GP
small ground pools in elfin woodland,GP
large or small ground pools,GP
collared peccary water holes,GP
small ground pools,GP
ground pools with cut down or burned vegetation,GP
sunlit grassy depressions,GP
shallow grassy rain pools,GP
casual pools,GP
shaded ground pools,GP
open clear pools,GP
shallow ground pools,GP
ground pools containing leaves and twigs,GP
shady ground pools,GP
open grassy water,GP
shallow leafy pools,GP
shady pools,GP
depressions,GP
pools under uprooted trees,GP
shallow cloudy pools,GP
waterhole in watercourse,GP
casual rain pools,GP
earthbound pools,GP
depressions by king tides,GP
stagnant shallow pools,GP
deep pools (deeper than 18 inches),GP
grassy sunlit pools,GP
small shaded pools,GP
freshwater pools along watercourses,GP
leaf-filled ground pools,GP
partly shaded pools,GP
pools at jungle borders,GP
shaded jungle ground pools,GP
small ground pool in coastal village,GP
weedy pools,GP
shaded vegetated permanent water bodies,GP
ground pools with buffalo dung and urine,GP
shallow waterhole,GP
clear shady mountian pools,GP
clear shady forest pools,GP
shallow muddy pools,GP
pools,GP
Grasslands pools,GP
jungle edge pools,GP
pools,GP
shallow rain pools,GP
depression pools,GP
shaded pools in woods,GP
pools among sedges,GP
shaded scrub pool,GP
pools,GP
bases of uprooted trees,GP
margins of a pool,GP
large ground pools,GP
stagnant ground pools,GP
permanent ground pools,GP
grassy margins of pools,GP
earth-lined pools,GP
hyacinth pools,GP
residual pools,GP
freshwater ground pools,GP
fresh pools,GP
vegetative pools,GP
inland waterholes,GP
groundholes,GP
swampy ground pools,GP
deep ground pool,GP
gravel pools,GP
leafy side pool,GP
natural pools,GP
backwater pools,GP
rainforest pools,GP
ground pools near nipah palm trees,GP
small pools in jungle,GP
nipah ground pools,GP
small jungle pools,GP
deep pools,GP
cut-off pools,GP
heavily shaded forest pools,GP
heavily shaded black-water forest pools,GP
ground holes,GP
partially shaded pools,GP
shaded leafy woodland pools,GP
vegetated pools,GP
dry season in permanent pools,GP
early cold pools,GP
artificial depressions,GPA
slightly brackish water pools,GPB
brackish pools,GPB
permanent salt-water pools,GPB
brackish water pools,GPB
saline ground pools,GPB
brackish ground pools,GPB
brackish pools in reeds near coast,GPB
saline pools,GPB
salt pools,GPB
salt bed pools,GPB
coastal saline pools,GPB
temporary ground pools of all sizes,GPT
temporary pools,GPT
temporary pools in jungle,GPT
semipermanent pools,GPT
large temporary cold rain-water pools,GPT
shaded temporary pools,GPT
sunlit temporary pools,GPT
unshaded temporary rain-filled pools,GPT
shaded or partly shaded temporary rain-filled pools,GPT
sunlit or partly shaded temporary floodpools,GPT
shaded temporary floodpools,GPT
shallowtemporary shaded rain-filled depressions,GPT
sunlit temporary floodpools,GPT
woodland temporary floodpools,GPT
temporary floodpools,GPT
vegetative floodpools,GPT
flooded meadows,GPT
temporary semipermanent shaded woodland pools,GPT
temporary rain-filled pools,GPT
woodland flood pools,GPT
flood water ground pools,GPT
deep temporary pools,GPT
sinkholes with rain water,GPT
floodpools,GPT
puddles,GPT
floodwater pools,GPT
overflow pools,GPT
flooded bases of sweet- and tupelo-gum trees,GPT
floodwater areas,GPT
semipermanent pools with vegetation,GPT
temporary ground pools,GPT
puddles along margin of cane area,GPT
temporary ground pools in woods,GPT
temporary ground pools in bamboo groves,GPT
temporary shallow ground pools in Grasslandss,GPT
semipermanent or temporary sites,GPT
temporary ground pools in forest,GPT
small semipermanent ground pool (pasture),GPT
temporary freshwater pools,GPT
temporary rain pools,GPT
small temporary ground pools,GPT
transient pools,GPT
shaded floodpools,GPT
transient forest pools,GPT
flood pools,GPT
shaded temporary puddles,GPT
flooded sago forest,GPT
rain pools/puddles (swamps woodlands),GPT
grassy flood pools,GPT
shaded temporary ground pool,GPT
flooded forest area in temporary ground pool,GPT
small muddy temporary pools,GPT
temporary ground pool in forest areas (formed by buttress roots),GPT
flooded areas,GPT
pools formed by drying of larger temporary ground pools,GPT
transient wet season pools with high surface film temperatures,GPT
semipermanent ground pools,GPT
exposed temporary puddle,GPT
temporary jungle pools,GPT
temporary puddles,GPT
flooded pastures,GPT
grassy rain depressions,GPT
mud puddles,GPT
grass in flooded meadows,GPT
flooded pools,GPT
open puddles,GPT
flooded sago forests,GPT
flooded forest margins,GPT
semi-permanent pools,GPT
grassy puddles,GPT
unshaded temporary ground pools,GPT
temporary flood pools,GPT
shallow temporary ground pools,GPT
forest temporary pools,GPT
transient ground pools,GPT
shaded puddles,GPT
temporary water collections,GPT
temporary puddles in a furest clearing exposed to sun,GPT
hog wallows,HGW
carabao wallows,HGW
pig-wallows,HGW
buffalo wallow,HGW
pig wallows,HGW
buffalo wallows,HGW
hog wallow,HGW
pig wallow,HGW
partially shaded buffalo wallows,HGW
irrigation ditches,IC
irrigated meadows,IC
irrigation seepage,IC
irrigation systems,IC
irrigation overflow pools,IC
irrigated pastures,IC
irrigation channels,IC
irrigation pools,IC
taro irrigation,IC
swift-running streams draining irrigated sugarcane crops,IC
Chinese irrigation wells,IC
fresh water irrigation channels,IC
irrigation channels with grassy margins,IC
irrigation canals,IC
irrigation ponds,IC
leaf axils,LA
fronds,LA
spathes,LA
coconut spathes,LA
plant axils,LA
arboreal bromeliads,LA
terrestrial bromeliads,LA
leaf axils of aroids,LA
leaf xils of ground bromeliads,LA
epiphytic bromeliad,LA
epiphytic bromeliads,LA
leaf axil of bromeliad,LA
leaf axils of epiphytic bromeliads,LA
terrestrial and epiphytic bromeliads,LA
bromeliads,LA
leaf axils of wild coco yam,LA
leaf axils of terrestrial and epiphytic broad-leaf astelias,LA
astelia axils,LA
palm fronds,LA
banana axils,LA
bromeliad leaf axils,LA
palm bracts,LA
leaf axils of pandanus,LA
leaf axils of pandanaceae,LA
leaf axils of pandanaceous plant,LA
smooth-leaved pandanus,LA
leaf axils of pandanus growing in partial shade in jungle,LA
banana,LA
leaf axils of Alocasia macrorrhiza,LA
shallow water at base of pandanus,LA
terrestrial and arboreal bromeliad axils,LA
bromeliad axils,LA
aroid leaf axils,LA
axils of epiphytic bromeliads,LA
axils of terrestrial and epiphytic bromeliads,LA
axils of bromeliads,LA
leaf axials of arboreal and terrestrial bromeliads,LA
leaf axials of bromeliads,LA
leaf axials of aroids,LA
leaf axils of epiphytic and terrestrial bromeliads,LA
aroids,LA
leaf axils (Strelitzia Dracaena Colocasia Sansevieria banana pineapple lily cocoyam taro),LA
axils of cunjevoi,LA
leaf axils of colocasia,LA
leaf axils of sararanga and pandanus,LA
leaf axils of Freycinetia Storkii,LA
sago leaves,LA
leaf bases of sword grass,LA
leaf axils of Pandanus tectorius Pandanus joskei P. thurstonii,LA
taro (Colocasia antiquorum),LA
wild taro,LA
leaf axils of Pandanus,LA
taro,LA
abaca,LA
biga,LA
leaf axils of broad leaf Pandanus,LA
leaf axils of Freycinetia milnei,LA
leaf axils of Pandanus,LA
leaf axils of Gahnia,LA
leaf axils of Hanguana malayana,LA
axils of broad-leafed Pandanus,LA
taro,LA
cunjevoi,LA
pineapple,LA
sago palms,LA
leaf axils of screw palm,LA
leaf axils of taro,LA
giant taro,LA
pineapples,LA
sago palm,LA
leaf axils of crinum,LA
aroid-type plants,LA
leaf axils of Freycinetiae,LA
axils of plants in swamps,LA
Pandanus,LA
axils of Pandanus,LA
Freycinetia,LA
palm axils,LA
Nipa palms,LA
axils of Alocasia macrorhiza (ape) Bilbergia thyrsoidea (pineapple lily) and Crinum asiaticum (spider lily),LA
leaf axils of sago and taro,LA
leaf axils of Bilbergia Crinum Alocasia and Pandanus,LA
axils of Pandanus Alocasia taro,LA
palm spathe,LA
Pandanus leaf axils,LA
base of coconut fronds,LA
taro leaf axils,LA
leaf axils of taro and Pandanus,LA
leaf axil of Spiny Palm,LA
Pandanus axils,LA
freshwater sedge,LA
taro axils,LA
sago axils,LA
sago palm axils in sago swamp,LA
terrestrial broad leaf astelias,LA
epiphytic broad leaf astelias,LA
masses of pistia stratiotes,LK
decaying sago palm leaves,LA
coconut spathe,LA
nipa palm leaves,LA
Sararanga leaf axils,LA
sago palm axils,LA
sago leaf axils,LA
nipah palm fronds,LA
sedge,LA
lily axils,LA
cunjevoi axils,LA
pineapple axils,LA
leaf axils of Curcuma australasica,LA
Crinum axils,LA
Sararanga axils,LA
Araceae axils,LA
epiphytic Astelias,LA
Sinda axils,LA
Colocasia axils,LA
Alocasia axils,LA
Strelitzia axils,LA
Curcuma leaf axils,LA
Curcuma axils,LA
aroid axils,LA
wild banana,LA
leaves,LA
palm spathes,LA
leaf bracts,LA
leaf axils,LA
heavily shaded bromeliads,LA
partially shaded bromeliads,LA
partially shaded bromeliad axils,LA
heavily shaded bromeliad axils,LA
pandanus,LA
palms,LA
coconut fronds,LA
Pandanus leaf,LA
frond axils,LA
banana leaf axils,LA
axils of banana leaves,LA
Bromeliad Nidularium innocentii,LA
Nidularium innocentii,LA
lagoons,LGN
grassy banks of small coastal fully sunlit lagoon,LGN
freshwater lagoon,LGN
lagoon,LGN
coastal lagoons at river mouths,LGN
stagnant lagoons,LGN
creek lagoon,LGN
weedy lagoons,LGN
brackish lagoons,LGN
freshwater lagoons,LGN
lakes,LK
emergent vegetation in lakes,LK
oxbow lakes,LK
small lakes,LK
pond-lake,LK
lakes with aquatic vegetation,LK
artificial lakes,LKA
resovior margins,LKA
brackish lakes,LKB
lake margins,LKM
grassy shallow margins and lakes,LKM
Great salt lake water margins,LKM
lake margins with vegetation,LKM
grassy lake margins,LKM
small lake margins,LKM
mudd in swamp at mouth of lake,LKM
margins of lakes forests,LKM
edges of lakes in forrests,LKM
lake margins in forest,LKM
shallow shaded edge of freshwater lake,LKM
swampy shores of lakes,LKM
margins of lakes,LKM
grassy margins of lakes,LKM
lake edges,LKM
limestone rock holes,LMS
temporary pools (limestone depressions),LMS
limestone solution holes,LMS
potholes in coral limestone rocks,LMS
limestone pools,LMS
coral limestone depressions,LMS
limestone potholes,LMS
abandoned gold prospect holes,MAQ
large prospect holes,MAQ
shallow mining pits,MAQ
mine,MAQ
mining pools,MAQ
Sarracenia purpurea pitcher plants,ML
cavities in agave leaves,LA
Nepenthes,ML
pitcher plants,ML
Nepenthes pitchers,ML
plant pitchers,ML
manure pits,MNR
liquid manure,MNR
shallow depressions in peaty soil with fallen leaves,MR
peat swamps,MR
peaty swamp pools,MR
peaty soil,MR
peaty hollows,MR
peaty depressions,MR
salt water marshes,MRB
brackish water coastal marshes,MRB
salt marshes,MRB
brackish coastal marshes,MRB
diluted salt-marsh pools,MRB
salt marsh pools,MRB
brackish marshes,MRB
salt marsh,MRB
unshaded salt marsh,MRB
brackish marsh,MRB
shaded canebreak marshes,MRH
freshwater marshes with emergent vegetation,MRH
Carex marshes,MRH
coastal marshes,MRH
tidal marshes,MRH
fresh-water marshes,MRH
along flooded grassy marshes,MRH
marshes,MRH
inlet marshes,MRH
pickleweed marshes,MRH
grass marshes,MRH
grassy marshes,MRH
marshy pools,MRH
low salinity tidal marshes,MRH
grassy marsh edges,MRH
marsh margins,MRH
potholes in marshes,MRH
flooded marshes,MRH
partly dried marshes,MRH
marshy ground,MRH
small marshy depressions,MRH
large open marshes,MRH
large marshes open to sunlight,MRH
turbid marshy depressions,MRH
marshy depressions,MRH
open marshy areas,MRH
marshy meadow,MRH
fresh water marshes,MRH
low land marshes,MRH
shallow marshes,MRH
open marshes,MRH
seepage marsh,MRH
marsh,MRH
marshes with aquatic vegetation,MRH
polluted pools,PLT
polluted ground waters,PLT
polluted water in farms,PLT
polluted ground pools,PLT
polluted water containers,PLT
polluted water,PLT
polluted vegetative water,PLT
plantations,PNT
cultivated fields,PNT
sugarcane plantations,PNT
plantations,PNT
ponds,PO
ponded creeks,PO
stock ponds,PO
open stock ponds,PO
deep ponds,PO
ponds overgrown with hyacinths and cattails,PO
marshy ponds,PO
large ponds,PO
ponds,PO
ponded streams,PO
ponds in swamps,PO
swamp ponds,PO
freshwater ponds,PO
rush bordered pond,PO
shallow fishpond,PO
ponded stream,PO
grass edged freshwater ponds,PO
freshwater fish ponds,PO
ponds with duckweed,PO
shallow fish ponds,PO
fish ponds,PO
ponded rivers,PO
vegetative ponds,PO
stagnant natural ponds,PO
billabongs,PO
pond,PO
small ponds,PO
emergent vegetation in ponds,PO
