Record_ID,Presence-Absence,Shaded (Shaded/Semishaded/Unshaded),Saltwater (Yes/No),Habitat_1,Habitat_2,Habitat_3,Habitat_4,Habitat_5,Habitat_6,Habitat_7,Habitat_8,Habitat_9,Habitat_10,Habitat_11,Habitat_12,Habitat_13,Habitat_14,Habitat_15,Habitat_16,Habitat_17,Habitat_18,Habitat_19,Habitat_20,Habitat_21,Habitat_22,Habitat_23,Habitat_24,Habitat_25,Habitat_26,Habitat_27,Habitat_28,Habitat_29,Habitat_30,Habitat_31,Habitat_32,Habitat_33,Habitat_34,Habitat_35,Habitat_36,Habitat_37,Habitat_38,Habitat_39,Habitat_40,Habitat_41,Habitat_42,Habitat_43,Habitat_44,Habitat_45,Habitat_46,Habitat_47,Habitat_48,Habitat_49,Habitat_50,Notes
sp0000000040,Presence,,,freshwater marshes with emergent vegetation,button bushes in water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000041,Presence,,,Needs Sunlight,Fresh or brackish water habitats,seepage pools,irrigation ditches,shallow margins of ponds,stream margins,lake margins,hoof prints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000042,Presence,,,rot tree holes,artificial containers,arboreal bromeliads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000043,Presence,,,arboreal bromeliads,treehole (very rare),bamboo (very rare),terrestrial bromeliads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000044,Presence,,,Sarracenia purpurea pitcher plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000045,Presence,,,arboreal bromeliads,terrestrial bromeliads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000046,Presence,,,swamp,freshwater creek margin,hoof print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000047,Presence,,,grassy shallow margins of ponds,grassy shallow margins and lakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000048,Presence,,,emergent and floating vegetation in permanent pools,ponds,lakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000049,Presence,,,open pools,river beds,pool margins on rivers,sluggish streams with heavy vegetation growth,melting snow pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000050,Presence,,,grassy impoundments,melting snow pools,deep well-shaded pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000051,Presence,,,ground pools,springs,melting snow pools,rain barrels,polluted pools,stream beds,animal troughs,partial shade preferred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000052,Presence,,,ground pools,ditches,artificial water containers,polluted pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000053,Presence,,,cool clear shaded pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000054,Presence,,,large temporary cold rain-water pools,shaded temporary pools,sunlit temporary pools,Carex marshes,lake margins,treehole (very rare),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000055,Presence,,,small permanent bodies of water,swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000056,Presence,,,water filled rot cavities,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000057,Presence,,,tree hole rot cavities,artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000058,Presence,,,permanent water bodies with aquatic vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000059,Presence,,,permanent water bodies with aquatic vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000060,Presence,,,permanent water bodies with aquatic vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000061,Presence,,,unshaded temporary rain-filled pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000062,Presence,,,shaded or partly shaded temporary rain-filled pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000063,Presence,,,sunlit or partly shaded temporary floodpools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000064,Presence,,,shaded temporary floodpools,overflow pools along streams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000065,Presence,,,shaded temporary floodpools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000066,Presence,,,shallowtemporary shaded rain-filled depressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000067,Presence,,,shaded temporary floodpools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000067,Absence,,,sunlit temporary floodpools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000068,Presence,,,woodland temporary floodpools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000069,Presence,,,sunlit temporary floodpools,rice fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000070,Presence,,,temporary floodpools,rice fields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000071,Presence,,,sunlit temporary floodpools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000072,Presence,,,temporary floodpools,roadside ditches,recently filled stream beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000073,Presence,,,ditches,woodland snowpools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000074,Presence,,,early cold pools,edges of bogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000075,Presence,,,woodland temporary floodpools,vegetative floodpools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000076,Presence,,,temporary spring pools,snow pools,cranberry bogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000077,Presence,,,flooded roadside ditches,flooded meadows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000078,Presence,,,flooded roadside ditches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000080,Presence,,,melting snow pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000081,Presence,,,temporary semipermanent shaded woodland pools,pools in dried stream beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000082,Presence,,,abandoned foxhole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000083,Presence,,,coastal marshes,fresh water pools,less brackish water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000084,Presence,,,melting snow pools,open meadow melted snow pools,shaded snow pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000085,Presence,,,Shaded melting snow pools,Deciduous and evergreen deep snow pools,,brackish water coastal marshes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000086,Presence,,,sphagnum bog swamp,woodland pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000087,Presence,,,melting shaded snow pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000088,Presence,,,tidal marshes,fresh-water marshes,irrigation ditches,Great salt lake water margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000089,Presence,,,temporary rain-filled pools,woodland flood pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000090,Presence,,,temporary pools in open swamps,along flooded grassy marshes,woodland pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000091,Presence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000092,Presence,,,artificial containers,tree holes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000093,Presence,,,stream margins,ditches,ground pools,ponds,swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000094,Presence,,,shady mangrove swamps,salt marshes,brackish water pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000095,Presence,,,ditches,drains,stream margins,sunlit freshwater pools with vegetation and/or algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000095,Absence,,,mangrove swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000096,Presence,,,rice field margins,swamps,ditches,ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000097,Presence,,,stream margins,pools in stream beds,ground pools,ditches,swamp margins,pond margins,large artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000098,Presence,,,swamp margins,ditches,stream margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000099,Presence,,,shaded ditches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000100,Presence,,,dicthes,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000101,Presence,,,medium to large crabholes,mangrove swamps,salt marshes,rockholes in seashore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000101,Absence,,,small crabholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000102,Presence,,,coral rockholes,shallow open pools,large artificial containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000103,Presence,,,cut bamboo,treeholes,leaves on the ground,coconut shells,artificial containers,leaf axils of aroids,flower bracts of Heliconia,leaf xils of ground bromeliads,stream bed pools,rockholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000104,Presence,,,swamps,stock ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000105,Presence,,,crabholes with freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000106,Presence,,,cool and shady waters,pools in mountain stream beds,,large artifical containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000106,Absence,,,below elevations of 480 meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000107,Presence,,,ground water,large crabholes,seaside rockholes,large artifical containers,epiphytic bromeliad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000108,Presence,,,small artificial containers,polluted ground waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000109,Presence,,,ponds,stream margins,ditches,swamps,shady fresh water,water with vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000110,Presence,,,solution holes,small crabholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000111,Presence,,,swamp dicthes,large stream pool beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000112,Presence,,,mangroves,ditches,stream margins,ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000113,Presence,,,shaded stream bed pools,rockholes,ditches,ground pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000114,Presence,,,ground pools,open stock ponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000115,Presence,,,water with water lettuce (Pistia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000116,Presence,,,epiphytic bromeliads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000118,Presence,,,vegetatious swamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000119,Presence,,,roots of water spoon (Hydromystria stolonifera),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000120,Presence,,,roots of water lettuce (Pisita stratiotes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000121,Presence,,,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000122,Presence,,,sunlit temporary pools,flooded swamp margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000123,Presence,,,shaded temporary pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000124,Presence,,,dried stream beds,ground pools,rockholes in mangroves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000125,Presence,,,ground pools,rockholes,tanks,cisterns,concrete drainage sumps,leaf axil of bromeliad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000126,Presence,,,ground pools,dicthes,ponds,swamp margins,crabholes,rockholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000127,Presence,,,coral rockholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000128,Presence,,,ground pools,pond margins,swamp margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000129,Presence,,,mangrove pools,salt marshes,coral rockholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000130,Presence,,,brackish waters by the sea,footprints in salt marshes,coral rockholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000131,Presence,,,coral rockholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000132,Presence,,,ground pools,stream overflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000133,Presence,,,mangrove swamps,freshwater pools,stream overflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000134,Presence,,,rain pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000135,Presence,,,coral rockholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000136,Presence,,,treeholes,coral rockholes,bamboo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000137,Presence,,,leaf axils of epiphytic bromeliads,heliconia axils,treeholes,cut bamboo,crabholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000138,Presence,,,arboreal bromeliads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000139,Presence,,,terrestrial and epiphytic bromeliads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000140,Presence,,,treeholes,cut bamboo,rockholes,crabholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000140,Absence,,,bromeliads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000141,Presence,,,terrestrial and epiphytic bromeliads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000142,Presence,,,artificial containers,treeholes,bamboo stumps,rockholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Larvae were found in ground pools ditches and stream beds due to laboratory contamination
sp0000000143,Presence,,,treeholes,bamboo stumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000144,Presence,,,bamboo,treeholes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp0000000145,Presence,,,terrestrial and epiphytic bromeliads,leaf axils of wild coco yam,Heliconia flower bracts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Larvae were found in treeholes due to laboratory contamination
sp0000000145,Absence,,,bamboo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
